DR_NO,Date_Rptd,DATE_OCC,AREA_NAME,Crm_Cd,Crm_Cd_Desc,Vict_Age,Vict_Sex,Premis_Desc,Status,Location,LAT,LON
200716724,12-04-2020,12-03-2020,Wilshire,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),19,M,OTHER BUSINESS,IC,WALL,34.08,-118.37
200100583,02-04-2020,02-04-2020,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",38,F,OTHER BUSINESS,AA,800 N BROADWAY,34.05,-118.25
200100584,02-04-2020,02-04-2020,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),55,M,DEPARTMENT STORE,IC,400 S SPRING ST,34.05,-118.26
200100587,02-06-2020,02-06-2020,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",66,F,"VEHICLE, PASSENGER/TRUCK",IC,300 W 5TH ST,34.04,-118.25
200218458,12-11-2020,12-11-2020,Rampart,761,BRANDISH WEAPON,34,M,PARKING LOT,AO,1800 S MAIN ST,34.07,-118.28
200100596,02-08-2020,02-08-2020,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),35,M,OTHER STORE,IC,600 W 7TH ST,34.05,-118.26
200104020,01-01-2020,01-01-2020,Central,350,"THEFT, PERSON",44,M,SIDEWALK,IC,700 ALPINE ST,34.05,-118.25
200104024,01-01-2020,01-01-2020,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",41,M,"VEHICLE, PASSENGER/TRUCK",IC,6200 SYLMAR AV,34.05,-118.25
200104027,01-01-2020,01-01-2020,Central,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,57,M,PARKING LOT,IC,100 E 5TH ST,34.05,-118.26
200104035,01-01-2020,01-01-2020,Central,310,BURGLARY,34,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,1200 E 7TH ST,34.06,-118.24
200104038,01-01-2020,01-01-2020,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",57,M,SIDEWALK,IC,700 S FLOWER ST,34.04,-118.25
200104039,01-01-2020,01-01-2020,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),55,M,OTHER BUSINESS,IC,300 E 3RD ST,34.05,-118.26
200104041,01-01-2020,01-01-2020,Central,480,BIKE - STOLEN,23,M,RESTAURANT/FAST FOOD,IC,1ST,34.03,-118.27
200104043,01-01-2020,01-01-2020,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),55,M,"VEHICLE, PASSENGER/TRUCK",IC,1200 S GRAND AV,34.06,-118.24
200104047,01-01-2020,01-01-2020,Central,623,BATTERY POLICE (SIMPLE),0,X,MTA - RED LINE - PERSHING SQUARE,IC,300 S GRAND AV,34.05,-118.25
200104048,01-01-2020,01-01-2020,Central,623,BATTERY POLICE (SIMPLE),0,X,MTA - RED LINE - PERSHING SQUARE,IC,600 S CENTRAL AV,34.05,-118.25
200104051,01-01-2020,01-01-2020,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),22,F,NIGHT CLUB (OPEN EVENINGS ONLY),IC,600 N BROADWAY,34.05,-118.26
200104054,01-02-2020,01-01-2020,Central,624,BATTERY - SIMPLE ASSAULT,28,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,800 W 7TH ST,34.05,-118.25
200104057,01-02-2020,01-01-2020,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",43,M,STREET,IC,7TH ST,34.04,-118.25
200104058,01-02-2020,01-01-2020,Central,624,BATTERY - SIMPLE ASSAULT,46,M,SIDEWALK,IC,23400 PRESIDENT AV,34.05,-118.24
200104060,01-02-2020,01-01-2020,Central,624,BATTERY - SIMPLE ASSAULT,56,F,STREET,IC,700 W 7TH ST,34.05,-118.25
200104063,01-01-2020,01-01-2020,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",55,F,PARKING LOT,IC,13100 LAKE ST,34.05,-118.26
200104065,01-01-2020,01-01-2020,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),55,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,100 W 1ST ST,34.06,-118.23
200104066,01-01-2020,01-01-2020,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0,X,"VEHICLE, PASSENGER/TRUCK",IC,3RD,34.04,-118.26
200104069,01-02-2020,01-02-2020,Central,310,BURGLARY,0,X,RESTAURANT/FAST FOOD,IC,6TH,34.06,-118.24
200104073,01-02-2020,01-02-2020,Central,510,VEHICLE - STOLEN,0,,PARKING LOT,IC,1ST,34.05,-118.25
200104075,01-02-2020,01-01-2020,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),67,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,1600 S HOPE ST,34.04,-118.25
200104076,01-01-2020,01-01-2020,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",57,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,600 W 7TH ST,34.05,-118.25
200104077,01-02-2020,01-01-2020,Central,330,BURGLARY FROM VEHICLE,37,F,STREET,IC,600 S SAN PEDRO ST,34.03,-118.26
200104078,01-02-2020,01-02-2020,Central,210,ROBBERY,0,X,DRUG STORE,IC,100 W 2ND ST,34.05,-118.26
200104082,01-02-2020,01-02-2020,Central,624,BATTERY - SIMPLE ASSAULT,60,M,STREET,IC,100 E 5TH ST,34.04,-118.25
200104090,01-02-2020,01-02-2020,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,M,DEPARTMENT STORE,IC,700 W 7TH ST,34.05,-118.26
200104092,01-02-2020,01-01-2020,Central,310,BURGLARY,51,M,GARAGE/CARPORT,IC,700 W 7TH ST,34.06,-118.24
200918185,12-07-2020,12-07-2020,Van Nuys,900,VIOLATION OF COURT ORDER,52,F,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",AA,4TH,34.18,-118.45
200104098,01-02-2020,01-02-2020,Central,210,ROBBERY,61,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,700 S GRAND AV,34.05,-118.25
200104118,01-02-2020,01-02-2020,Central,624,BATTERY - SIMPLE ASSAULT,36,F,OTHER BUSINESS,IC,5TH,34.04,-118.24
200104120,01-02-2020,01-02-2020,Central,310,BURGLARY,59,M,SINGLE RESIDENCE OCCUPANCY (SRO'S) LOCATIONS,IC,100 E 5TH ST,34.04,-118.24
200104126,01-02-2020,01-02-2020,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),32,M,OTHER STORE,IC,100 W 2ND ST,34.05,-118.26
200104127,01-02-2020,01-02-2020,Central,888,TRESPASSING,44,F,PARKING UNDERGROUND/BUILDING,IC,PALMETTO,34.05,-118.24
200104129,01-02-2020,01-02-2020,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",60,F,STREET,IC,800 JAMES M WOOD BL,34.05,-118.24
200104132,01-02-2020,01-02-2020,Central,330,BURGLARY FROM VEHICLE,31,M,PARKING LOT,IC,GRAND,34.04,-118.26
200104135,01-02-2020,01-02-2020,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),30,M,STREET,IC,GRAND,34.05,-118.25
200104136,01-02-2020,01-02-2020,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",50,M,STREET,AA,200 N AVENUE 25,34.04,-118.24
200104138,01-02-2020,01-02-2020,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",40,M,OTHER BUSINESS,IC,500 SAN JULIAN ST,34.06,-118.24
200104139,01-02-2020,01-02-2020,Central,888,TRESPASSING,34,M,RESTAURANT/FAST FOOD,IC,43RD ST,34.05,-118.26
200104141,01-02-2020,01-02-2020,Central,624,BATTERY - SIMPLE ASSAULT,45,M,OTHER BUSINESS,IC,100 PASEO DE LA PLAZA,34.05,-118.26
200104150,01-03-2020,01-02-2020,Central,624,BATTERY - SIMPLE ASSAULT,62,M,SIDEWALK,IC,500 S SAN PEDRO ST,34.04,-118.24
200516527,11-12-2020,11-12-2020,Harbor,510,VEHICLE - STOLEN,0,,DRIVEWAY,IC,1300 S LOS ANGELES ST,33.81,-118.31
200104187,01-03-2020,01-01-2020,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),20,F,DEPARTMENT STORE,IC,800 S FIGUEROA ST,34.05,-118.26
211422362,12-02-2021,12-02-2020,Pacific,354,THEFT OF IDENTITY,31,F,SINGLE FAMILY DWELLING,IC,800 N ALAMEDA ST,34.01,-118.45
200104192,01-03-2020,01-03-2020,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0,X,SIDEWALK,IC,JESSE ST,34.05,-118.24
200104201,01-03-2020,01-01-2020,Central,330,BURGLARY FROM VEHICLE,51,M,STREET,IC,700 W 7TH ST,34.05,-118.25
200104204,01-03-2020,01-02-2020,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),23,M,STREET,IC,500 S SAN PEDRO ST,34.04,-118.25
200104205,01-03-2020,01-03-2020,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),29,M,STREET,IC,700 W 7TH ST,34.05,-118.24
200104208,01-03-2020,01-03-2020,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),58,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,100 E 4TH ST,34.04,-118.27
200104209,01-03-2020,01-03-2020,Central,624,BATTERY - SIMPLE ASSAULT,24,M,SIDEWALK,IC,600 S SPRING ST,34.05,-118.26
200104221,01-03-2020,01-03-2020,Central,761,BRANDISH WEAPON,51,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,700 S FLOWER ST,34.04,-118.25
200104222,01-03-2020,01-03-2020,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",41,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AA,800 N ALAMEDA ST,34.05,-118.24
200104223,01-03-2020,01-03-2020,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),32,M,"VEHICLE, PASSENGER/TRUCK",IC,600 S SPRING ST,34.05,-118.25
200104224,01-03-2020,01-03-2020,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),23,M,OTHER STORE,IC,7TH,34.05,-118.26
200104227,01-04-2020,01-03-2020,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),35,M,OTHER STORE,IC,900 NEW DEPOT ST,34.05,-118.26
200104228,01-04-2020,01-03-2020,Central,210,ROBBERY,28,M,STREET,IC,400 CASANOVA ST,34.04,-118.24
200104230,01-04-2020,01-03-2020,Central,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,,STREET,IC,600 S GRAND AV,34.05,-118.26
200104231,01-03-2020,01-03-2020,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",58,M,STREET,IC,500 S SPRING ST,34.04,-118.24
200104233,01-03-2020,01-03-2020,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",57,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,600 WALL ST,34.05,-118.25
200104234,01-04-2020,01-03-2020,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),27,F,RESTAURANT/FAST FOOD,IC,900 N BROADWAY,34.05,-118.24
200104235,01-04-2020,01-03-2020,Central,330,BURGLARY FROM VEHICLE,30,F,STREET,IC,5TH ST,34.04,-118.23
200104236,01-03-2020,01-03-2020,Central,330,BURGLARY FROM VEHICLE,30,M,STREET,IC,700 S OLIVE ST,34.05,-118.26
200104237,01-04-2020,01-04-2020,Central,330,BURGLARY FROM VEHICLE,31,M,STREET,IC,100 N LOS ANGELES ST,34.04,-118.26
200104238,01-03-2020,01-03-2020,Central,330,BURGLARY FROM VEHICLE,0,X,PARKING LOT,IC,6TH ST,34.04,-118.26
200409682,06-10-2020,06-10-2020,Hollenbeck,210,ROBBERY,24,F,SINGLE FAMILY DWELLING,AA,900 S LOS ANGELES ST,34.08,-118.22
200104244,01-04-2020,01-04-2020,Central,624,BATTERY - SIMPLE ASSAULT,48,F,SIDEWALK,IC,800 N ALAMEDA ST,34.04,-118.25
200306227,02-07-2020,02-06-2020,Southwest,510,VEHICLE - STOLEN,0,,STREET,IC,800 N ALAMEDA ST,34.01,-118.3
200104268,01-04-2020,01-04-2020,Central,624,BATTERY - SIMPLE ASSAULT,40,F,STREET,IC,800 N ALAMEDA ST,34.06,-118.24
200104269,01-04-2020,01-04-2020,Central,624,BATTERY - SIMPLE ASSAULT,57,F,SIDEWALK,IC,200 N SOTO ST,34.04,-118.25
200104270,01-04-2020,01-04-2020,Central,330,BURGLARY FROM VEHICLE,32,M,PARKING LOT,IC,HILL,34.04,-118.26
200816200,11-08-2020,11-07-2020,West LA,886,DISTURBING THE PEACE,58,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,700 S BROADWAY,34.06,-118.38
200104275,01-04-2020,01-04-2020,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,X,MARKET,IC,1800 S MAIN ST,34.05,-118.26
200104276,01-04-2020,01-02-2020,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),18,M,LA UNION STATION (NOT LINE SPECIFIC),IC,700 S FIGUEROA ST,34.06,-118.24
200104277,01-05-2020,01-04-2020,Central,330,BURGLARY FROM VEHICLE,25,M,STREET,IC,SPRING ST,34.04,-118.23
200104279,01-04-2020,01-04-2020,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,X,DEPARTMENT STORE,IC,6TH ST,34.05,-118.26
200104281,01-04-2020,01-04-2020,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),37,F,MISSIONS/SHELTERS,IC,2200 SAN YSIDRO DR,34.04,-118.25
200104283,01-04-2020,01-04-2020,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,X,DEPARTMENT STORE,IC,600 N BROADWAY,34.05,-118.26
200104284,01-04-2020,01-04-2020,Central,888,TRESPASSING,67,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,8TH,34.05,-118.25
200104285,01-05-2020,01-05-2020,Central,624,BATTERY - SIMPLE ASSAULT,26,M,OTHER BUSINESS,IC,800 N ALAMEDA ST,34.05,-118.25
200104286,01-04-2020,01-04-2020,Central,330,BURGLARY FROM VEHICLE,47,M,GARAGE/CARPORT,IC,2000 E 7TH ST,34.05,-118.26
200104287,01-04-2020,01-04-2020,Central,624,BATTERY - SIMPLE ASSAULT,21,F,LA UNION STATION (NOT LINE SPECIFIC),IC,700 S FLOWER ST,34.06,-118.24
200104289,01-05-2020,01-03-2020,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),26,F,NIGHT CLUB (OPEN EVENINGS ONLY),IC,4TH,34.05,-118.25
200104291,01-05-2020,01-04-2020,Central,210,ROBBERY,64,M,SIDEWALK,IC,W 5TH ST,34.04,-118.25
200104292,01-05-2020,01-04-2020,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),26,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,800 S HILL ST,34.07,-118.25
200104293,01-05-2020,01-03-2020,Central,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),31,F,PARKING UNDERGROUND/BUILDING,IC,6TH,34.07,-118.23
200104300,01-05-2020,01-04-2020,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",39,M,"VEHICLE, PASSENGER/TRUCK",IC,7TH,34.05,-118.26
200104302,01-01-2020,01-01-2020,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),25,F,BAR/COCKTAIL/NIGHTCLUB,IC,100 S FIGUEROA ST,34.05,-118.25
200104303,01-05-2020,01-04-2020,Central,510,VEHICLE - STOLEN,0,,PARKING LOT,IC,600 S FIGUEROA ST,34.04,-118.25
200104310,01-05-2020,01-05-2020,Central,624,BATTERY - SIMPLE ASSAULT,28,M,SIDEWALK,IC,100 E 17TH ST,34.06,-118.24
200104313,01-05-2020,01-04-2020,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",75,M,SIDEWALK,IC,6100 DELPHI ST,34.04,-118.25
200104316,01-05-2020,01-04-2020,Central,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,32,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,400 S BROADWAY,34.05,-118.26
200104319,01-04-2020,01-04-2020,Central,623,BATTERY POLICE (SIMPLE),0,X,DETENTION/JAIL FACILITY,IC,700 S FIGUEROA ST,34.05,-118.24
200104320,01-05-2020,01-04-2020,Central,330,BURGLARY FROM VEHICLE,0,M,STREET,IC,8TH,34.04,-118.25
200104321,01-06-2020,01-05-2020,Central,330,BURGLARY FROM VEHICLE,30,F,STREET,IC,14TH,34.04,-118.25
200104323,01-05-2020,01-03-2020,Central,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),28,M,STREET,IC,7TH ST,34.04,-118.25
200104326,01-05-2020,01-05-2020,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",56,M,STREET,AA,300 S BROADWAY,34.04,-118.27
200104327,01-05-2020,01-05-2020,Central,210,ROBBERY,0,X,LA UNION STATION (NOT LINE SPECIFIC),AA,300 S BROADWAY,34.06,-118.24
200104328,01-05-2020,01-05-2020,Central,350,"THEFT, PERSON",35,F,SIDEWALK,IC,4TH ST,34.05,-118.25
200104329,01-05-2020,01-05-2020,Central,421,THEFT FROM MOTOR VEHICLE - ATTEMPT,28,F,SIDEWALK,IC,12TH,34.05,-118.25
200104330,01-06-2020,01-05-2020,Central,888,TRESPASSING,19,M,LA UNION STATION (NOT LINE SPECIFIC),IC,8TH ST,34.06,-118.24
200104331,01-05-2020,01-05-2020,Central,624,BATTERY - SIMPLE ASSAULT,43,F,OTHER PREMISE,IC,11TH ST,34.04,-118.24
200104333,01-06-2020,01-06-2020,Central,888,TRESPASSING,0,X,LA UNION STATION (NOT LINE SPECIFIC),IC,300 E 5TH ST,34.06,-118.24
200405489,02-07-2020,02-06-2020,Hollenbeck,946,OTHER MISCELLANEOUS CRIME,12,F,SINGLE FAMILY DWELLING,AO,6TH,34.04,-118.21
200104336,01-06-2020,01-05-2020,Central,647,THROWING OBJECT AT MOVING VEHICLE,43,M,STREET,IC,1ST ST,34.04,-118.26
200104337,01-06-2020,01-06-2020,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),59,M,SIDEWALK,IC,200 W WASHINGTON BL,34.05,-118.25
200104339,01-05-2020,01-05-2020,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),34,F,"VEHICLE, PASSENGER/TRUCK",IC,800 JAMES M WOOD BL,34.04,-118.26
200104340,01-06-2020,01-05-2020,Central,310,BURGLARY,38,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,400 W 7TH ST,34.03,-118.26
200104351,01-01-2020,01-01-2020,Central,330,BURGLARY FROM VEHICLE,37,M,PARKING LOT,IC,1100 S FIGUEROA ST,34.05,-118.26
200104352,01-06-2020,01-05-2020,Central,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,,STREET,IC,900 W 8TH ST,34.05,-118.25
200104360,01-06-2020,01-06-2020,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",61,X,SIDEWALK,AA,700 S FLOWER ST,34.05,-118.25
210804296,01-08-2020,01-04-2020,West LA,940,EXTORTION,49,M,SINGLE FAMILY DWELLING,AO,400 SEATON ST,34.11,-118.42
200104369,01-06-2020,01-06-2020,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",22,M,STREET,IC,1000 N BROADWAY,34.05,-118.24
200104372,01-06-2020,01-06-2020,Central,330,BURGLARY FROM VEHICLE,43,F,PARKING UNDERGROUND/BUILDING,IC,1300 MAGDALENA ST,34.06,-118.24
200104377,01-06-2020,01-05-2020,Central,624,BATTERY - SIMPLE ASSAULT,71,M,STREET,IC,00 GATEWAY PLAZA DR,34.04,-118.25
200104379,01-06-2020,01-06-2020,Central,624,BATTERY - SIMPLE ASSAULT,71,M,LA UNION STATION (NOT LINE SPECIFIC),IC,600 WILSHIRE BL,34.06,-118.24
200104381,01-06-2020,01-06-2020,Central,510,VEHICLE - STOLEN,0,,PARKING LOT,IC,1ST,34.04,-118.23
200104382,01-06-2020,01-06-2020,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),55,M,CLOTHING STORE,IC,500 N FIGUEROA ST,34.05,-118.26
200104385,01-06-2020,01-06-2020,Central,330,BURGLARY FROM VEHICLE,19,F,STREET,IC,5TH ST,34.04,-118.24
200104389,01-02-2020,01-01-2020,Central,330,BURGLARY FROM VEHICLE,68,F,STREET,IC,GEORGIA ST,34.05,-118.25
200104390,01-03-2020,01-03-2020,Central,354,THEFT OF IDENTITY,38,F,BANK,IC,1100 S FIGUEROA ST,34.05,-118.26
200104392,01-06-2020,01-03-2020,Central,480,BIKE - STOLEN,48,M,MTA BUS,IC,700 W 7TH ST,34.05,-118.25
200104393,01-06-2020,01-06-2020,Central,624,BATTERY - SIMPLE ASSAULT,69,F,SIDEWALK,IC,ALPINE ST,34.04,-118.25
200104406,01-06-2020,01-04-2020,Central,330,BURGLARY FROM VEHICLE,50,F,PARKING LOT,IC,100 E 5TH ST,34.06,-118.25
200104408,01-06-2020,01-06-2020,Central,624,BATTERY - SIMPLE ASSAULT,13,M,MTA - BLUE LINE - 7TH AND METRO CENTER,IC,300 E 5TH ST,34.05,-118.26
200104410,01-06-2020,01-06-2020,Central,662,"BUNCO, GRAND THEFT",61,M,OTHER BUSINESS,IC,500 WALL ST,34.03,-118.26
200104411,01-07-2020,01-06-2020,Central,510,VEHICLE - STOLEN,0,,STREET,IC,PICO BL,34.04,-118.26
201106871,03-04-2020,03-02-2020,Northeast,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),50,M,STREET,IC,1100 S HOPE ST,34.12,-118.19
200104414,01-06-2020,01-05-2020,Central,330,BURGLARY FROM VEHICLE,26,M,PARKING LOT,IC,400 S HEWITT ST,34.05,-118.26
200104416,01-06-2020,01-06-2020,Central,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,26,F,DRUG STORE,IC,4TH ST,34.05,-118.25
200104419,01-06-2020,01-06-2020,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),45,M,DEPARTMENT STORE,IC,600 S SAN PEDRO ST,34.05,-118.26
200104420,01-05-2020,01-05-2020,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),36,F,"VEHICLE, PASSENGER/TRUCK",IC,1400 S FIGUEROA ST,34.05,-118.26
200104422,01-06-2020,01-06-2020,Central,330,BURGLARY FROM VEHICLE,24,M,STREET,IC,300 E 5TH ST,34.04,-118.27
200104429,01-07-2020,01-06-2020,Central,888,TRESPASSING,0,M,OTHER BUSINESS,IC,700 S FIGUEROA ST,34.06,-118.24
200104430,01-02-2020,01-02-2020,Central,480,BIKE - STOLEN,50,M,SIDEWALK,IC,VENICE,34.05,-118.26
200104431,01-02-2020,01-02-2020,Central,330,BURGLARY FROM VEHICLE,25,F,PARKING LOT,IC,200 S SAN PEDRO ST,34.05,-118.25
200104432,01-03-2020,01-02-2020,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),27,M,MARKET,IC,800 N HILL ST,34.05,-118.25
200104435,01-02-2020,01-02-2020,Central,330,BURGLARY FROM VEHICLE,33,M,STREET,IC,700 S LOS ANGELES ST,34.04,-118.24
200104440,01-04-2020,01-04-2020,Central,330,BURGLARY FROM VEHICLE,53,M,PARKING LOT,IC,800 S HILL ST,34.04,-118.27
200104443,01-04-2020,01-03-2020,Central,330,BURGLARY FROM VEHICLE,38,F,STREET,IC,800 N ALAMEDA ST,34.04,-118.25
200104444,01-05-2020,01-05-2020,Central,330,BURGLARY FROM VEHICLE,23,M,PARKING LOT,IC,500 S BROADWAY,34.04,-118.26
200104449,01-07-2020,01-07-2020,Central,624,BATTERY - SIMPLE ASSAULT,74,M,SIDEWALK,IC,600 S FIGUEROA ST,34.05,-118.24
200104450,01-07-2020,01-07-2020,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,X,STREET,IC,400 SAVOY ST,34.04,-118.25
200104451,01-07-2020,01-07-2020,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,X,SIDEWALK,IC,800 N ALAMEDA ST,34.05,-118.24
200104452,01-07-2020,01-07-2020,Central,624,BATTERY - SIMPLE ASSAULT,23,M,PARKING LOT,IC,800 N ALAMEDA ST,34.04,-118.27
200104455,01-06-2020,01-06-2020,Central,330,BURGLARY FROM VEHICLE,26,F,STREET,IC,900 S HILL ST,34.05,-118.26
